Price_BRL,Condo_Fee_BRL,Neighbourhood_Aux,Apt_Area_m2,Total_Rooms,Total_Baths,Garage_Spots_aux,Days_Published
3777210.0,,Sudoeste,201.0,4.0,6.0,4.0,11.0
1590000.0,940.0,Asa Sul,178.0,3.0,3.0,0.0,23.0
730000.0,,Asa Sul,78.0,3.0,2.0,0.0,18.0
780000.0,,Asa Norte,60.0,2.0,2.0,0.0,19.0
310000.0,,Asa Norte,26.0,1.0,1.0,1.0,3.0
320000.0,,Asa Norte,23.0,1.0,1.0,1.0,23.0
860000.0,951.0,Octogonal,68.0,2.0,1.0,1.0,18.0
1450000.0,1550.0,Asa Sul,161.0,3.0,3.0,0.0,24.0
304999.0,,Setor Habitacional Jardins Mangueiral,48.0,2.0,1.0,1.0,3.0
1680000.0,,Asa Norte,286.0,4.0,3.0,1.0,20.0
1750000.0,1400.0,Asa Sul,210.0,4.0,3.0,1.0,12.0
950000.0,,Asa Norte,69.0,2.0,2.0,1.0,13.0
850000.0,,Guará II,91.0,3.0,1.0,2.0,16.0
1250000.0,850.0,Asa Norte,102.0,3.0,2.0,1.0,21.0
1160000.0,,Sudoeste,146.0,2.0,2.0,1.0,20.0
1080000.0,650.0,Sudoeste,81.0,3.0,2.0,1.0,14.0
720000.0,500.0,Asa Sul,96.0,3.0,2.0,1.0,26.0
1690000.0,800.0,Asa Norte,125.0,3.0,3.0,0.0,28.0
770000.0,755.0,Asa Norte,99.0,3.0,2.0,0.0,4.0
750000.0,1100.0,Park Sul,53.0,2.0,2.0,1.0,28.0
1844000.0,1600.0,Asa Norte,213.0,4.0,4.0,1.0,27.0
630000.0,491.0,Lago Norte,54.0,2.0,1.0,1.0,16.0
2800000.0,,Asa Sul,238.0,4.0,2.0,0.0,4.0
3400000.0,,Asa Norte,400.0,5.0,6.0,4.0,21.0
2190000.0,1420.0,Noroeste,275.0,3.0,1.0,3.0,20.0
2750000.0,,Noroeste,166.0,3.0,5.0,3.0,14.0
1154000.0,780.0,Noroeste,74.0,2.0,3.0,2.0,16.0
400000.0,375.0,Park Sul,63.0,1.0,1.0,0.0,26.0
1590000.0,1200.0,Asa Sul,135.0,3.0,4.0,0.0,13.0
969000.0,922.0,Sudoeste,122.0,2.0,2.0,1.0,12.0
1890000.0,1300.0,Asa Sul,199.0,3.0,4.0,1.0,12.0
585000.0,399.0,Asa Sul,55.0,2.0,1.0,0.0,24.0
2450000.0,1500.0,Noroeste,145.0,4.0,5.0,3.0,1.0
1335000.0,1014.0,Sudoeste,105.0,3.0,3.0,2.0,25.0
689000.0,,Cruzeiro,64.0,3.0,2.0,0.0,1.0
1580000.0,,Asa Norte,132.0,4.0,2.0,0.0,19.0
3878267.0,,Sudoeste,230.0,4.0,6.0,4.0,13.0
359000.0,290.0,Asa Sul,39.0,1.0,1.0,0.0,18.0
1250000.0,640.0,Asa Norte,77.0,2.0,2.0,1.0,1.0
265000.0,,Asa Norte,26.0,1.0,1.0,1.0,13.0
990000.0,,Asa Sul,98.0,2.0,2.0,1.0,9.0
1100000.0,1000.0,Asa Norte,79.0,2.0,2.0,1.0,4.0
1450000.0,,Asa Norte,125.0,3.0,3.0,1.0,11.0
730000.0,,Asa Norte,80.0,3.0,1.0,0.0,10.0
1560000.0,1100.0,Noroeste,100.0,3.0,4.0,1.0,4.0
790000.0,1150.0,Águas Claras,109.0,4.0,5.0,1.0,25.0
2380000.0,1600.0,Sudoeste,147.0,4.0,4.0,2.0,20.0
2190000.0,,Park Sul,148.0,2.0,2.0,2.0,14.0
1345000.0,990.0,Asa Norte,97.0,3.0,3.0,1.0,21.0
1750000.0,,Noroeste,115.0,3.0,2.0,2.0,25.0
620000.0,460.0,Sudoeste,60.0,2.0,1.0,0.0,4.0
2250000.0,,Noroeste,119.0,3.0,4.0,2.0,5.0
1250000.0,600.0,Asa Sul,77.0,2.0,2.0,1.0,27.0
275000.0,300.0,Asa Norte,26.0,1.0,1.0,1.0,26.0
750000.0,,Asa Sul,89.0,3.0,2.0,0.0,18.0
875000.0,480.0,Asa Norte,84.0,3.0,2.0,0.0,23.0
830000.0,,Asa Sul,90.0,3.0,2.0,0.0,25.0
1685000.0,,Asa Norte,125.0,3.0,3.0,0.0,7.0
449000.0,,Park Sul,60.0,1.0,1.0,1.0,5.0
1580000.0,1450.0,Asa Sul,150.0,3.0,3.0,2.0,28.0
579924.0,1146.0,Asa Norte,37.0,1.0,1.0,1.0,10.0
