Price,Condo_Fee,Neighbourhood,Size_m2,Rooms,Bathrooms,Garage_Spots,Published,Description
R$ 3.777.210,,"Sudoeste, Brasília",201 m² tot.,4 quartos,6 ban.,4 vaga,Publicado há 11 dias,
R$ 1.590.000,R$ 940 Condominio,"Asa Sul, Brasília",178 m² tot.,3 quartos,3 ban.,,Publicado há 23 dias,"Oportunidade! 3 Quartos 01 suíte dce completa. 5° andar, vista livre. - Apartamento vazado, 178m² -Elevadores e fachada reformados. - Explore a beleza do clássico neste apartamento exclusivo de 178 metros quadrados na qd 107 Sul. Com detalhes sofisticados que evocam uma estética clássica inigualável. Detalhes Internos: - A cozinha, com armários embutidos em madeira de bom gosto, conferindo um charme clássico, - Sala de estar, banhada pela luz natural, torna-se um refúgio acolhedor, enquanto o piso de madeira (tabua corrida) adiciona uma aura de sofisticação discreta. Três quartos, incluindo uma suíte espaçosa, oferecem conforto sem abrir a mão do estilo clássico. - sqs 107 melhore Quadra de Brasília, Localização Privilegiada: Este apartamento clássico está estrategicamente posicionado em um dos melhores bairros de Brasília, proporcionando acesso privilegiado a serviços, comércio e áreas verdes, aproveitando tudo o que essa localização exclusiva tem a oferecer. - Agende uma visita: Claudio Cirino (61) Ver dados Creci 18. 371"
,,"Noroeste, Brasília",213 m² tot.,4 quartos,,"Apartamento Noroeste - Parque dos Buritis, 4 quartos. Lançamento! O melhor 04 Suítes Premium do Setor Noroeste vai conquistar você! Seja bem-vindo ao Parque dos Buritis: a evolução do alto padrão. Um conjunto arquitetônico exuberante, com a marca da solidez e da qualidade construtiva Emplavi. Uma nova experiência, única e inspiradora, que elevará seu conceito de moradia de alto luxo, a um nível inimaginável, está chegando em um dos bairros mais valorizados de Brasília. Projetos reversíveis e inteligentes que vão de 212, 62m² à 456, 80m² e até 05 vagas de garagem, localizado em uma das quadras mais consolidadas do Setor Noroeste, ao lado do Parque Burle Marx. Antecipe-se, agende uma visita à Central de vendas Emplavi Noroeste, encante-se com o futuro do seu novo endereço em Brasília e garanta negociações exclusivas, com condições especiais de Pré-lançamento. Parque dos Buritis 04 suítes Premium: a evolução do alto padrão.",,"Apartamento Noroeste - Parque dos Buritis, 4 quartos. Lançamento! O melhor 04 Suítes Premium do Setor Noroeste vai conquistar você! Seja bem-vindo ao Parque dos Buritis: a evolução do alto padrão. Um conjunto arquitetônico exuberante, com a marca da solidez e da qualidade construtiva Emplavi. Uma nova experiência, única e inspiradora, que elevará seu conceito de moradia de alto luxo, a um nível inimaginável, está chegando em um dos bairros mais valorizados de Brasília. Projetos reversíveis e inteligentes que vão de 212, 62m² à 456, 80m² e até 05 vagas de garagem, localizado em uma das quadras mais consolidadas do Setor Noroeste, ao lado do Parque Burle Marx. Antecipe-se, agende uma visita à Central de vendas Emplavi Noroeste, encante-se com o futuro do seu novo endereço em Brasília e garanta negociações exclusivas, com condições especiais de Pré-lançamento. Parque dos Buritis 04 suítes Premium: a evolução do alto padrão."
R$ 2.500.000,R$ 265.000 Condominio,"Asa Sul, Brasília",301 m² tot.,3 quartos,4 ban.,2 vaga,Publicado há 25 dias,"Apartamento com 3 quartos, sendo 1 suíte à venda na sqs 206, Asa Sul. Brasília. 4 experiências incríveis para você amar viver neste apartamento: 1. Living: Uma ampla sala que varre os espaços sustentados por uma coluna central e forrados pelo piso em tacos de madeira impecável. Aqui, os dias podem ser muitas coisas, mas todos terão algo em comum: conforto. 2. Vista: As janelas piso teto ladeiam a vista para a copa de árvores, ambientando o cenário com as melhores energias. Repare nos pequenos detalhes. 3. Cozinha: Essa é para os amantes da boa culinária. A cozinha espaçosa está sob medida, com bancada, coifa, armários e tudo no seu devido lugar, atendendo as exigências de um cotidiano super organizado. 4. Localização: Na superquadra 206, você terá pelas proximidades o Nippon Gourmet, Libanus, Franz e outras conveniências locais, como comércios e restaurantes. Aproveite."
R$ 730.000,,"Asa Sul, Brasília",78 m² tot.,3 quartos,2 ban.,"Sqs 416 - Asa Sul. Apartamento vazado, com janelão na sala e vista livre. Características ímpares para execução de projeto arquitetônico, por exemplo, possibilidade de se fazer uma suíte com closet. Prédio visivelmente bem conservado, monitorado por cftv e escadaria espaçosa. Distribuído em: - Sala ampla; - Cozinha de bom tamanho; - Três quartos; - Banheiro social; - Dependência completa; - Área de serviço ventilada por cobogó. Destaque: visitas agendadas com antecedência. Aceita financiamento E fgts. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024",Publicado há 18 dias,"Sqs 416 - Asa Sul. Apartamento vazado, com janelão na sala e vista livre. Características ímpares para execução de projeto arquitetônico, por exemplo, possibilidade de se fazer uma suíte com closet. Prédio visivelmente bem conservado, monitorado por cftv e escadaria espaçosa. Distribuído em: - Sala ampla; - Cozinha de bom tamanho; - Três quartos; - Banheiro social; - Dependência completa; - Área de serviço ventilada por cobogó. Destaque: visitas agendadas com antecedência. Aceita financiamento E fgts. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024"
R$ 780.000,,"Asa Norte, Brasília",60 m² tot.,2 quartos,2 ban.,,Publicado há 19 dias,"Sqn 407 - Apartamento 2 quartos - reformado - elevador novo- financiamento e fgts. Apartamento e prédio, reformados com elevador no coração da asa norte. Com 60 m² de área útil, o imóvel será vendido mobiliado. É composto por dois quartos, todos equipados com armários embutidos e ar condicionado, garantindo conforto térmico para os dias mais quentes. O imóvel conta com dois banheiros, um social e outro de serviço. A cozinha foi planejada e vem equipada com armários de alta qualidade, além de contar com uma prática área de serviço. Vale mencionar que toda a parte elétrica do apartamento é nova, o que representa um diferencial importante em termos de segurança e funcionalidade. O prédio, que conta com elevador, está localizado em uma área privilegiada, próxima a diversos comércios e serviços. Isso significa que você terá muita. praticidade no dia a dia, com fácil acesso a tudo o que precisa. E ainda, conta com portaria 24 horas e bicicletário. Não perca a oportunidade de conhecer este imóvel! Casa Capital Imóveis. WhatsApp: (61) Ver dados"
,,"Noroeste, Brasília","Apartamento Noroeste - Cobertura Parque dos Buritis, 4 quartos. Lançamento! O melhor 04 Suítes Premium do Setor Noroeste vai conquistar você! Seja bem-vindo ao Parque dos Buritis: a evolução do alto padrão. Um conjunto arquitetônico exuberante, com a marca da solidez e da qualidade construtiva Emplavi. Uma nova experiência, única e inspiradora, que elevará seu conceito de moradia de alto luxo, a um nível inimaginável, está chegando em um dos bairros mais valorizados de Brasília. Projetos reversíveis e inteligentes que vão de 212, 62m² à 456, 80m² e até 05 vagas de garagem, localizado em uma das quadras mais consolidadas do Setor Noroeste, ao lado do Parque Burle Marx. Antecipe-se, agende uma visita à Central de vendas Emplavi Noroeste, encante-se com o futuro do seu novo endereço em Brasília e garanta negociações exclusivas, com condições especiais de Pré-lançamento. Parque dos Buritis 04 suítes Premium: a evolução do alto padrão.",4 quartos,,"Apartamento Noroeste - Cobertura Parque dos Buritis, 4 quartos. Lançamento! O melhor 04 Suítes Premium do Setor Noroeste vai conquistar você! Seja bem-vindo ao Parque dos Buritis: a evolução do alto padrão. Um conjunto arquitetônico exuberante, com a marca da solidez e da qualidade construtiva Emplavi. Uma nova experiência, única e inspiradora, que elevará seu conceito de moradia de alto luxo, a um nível inimaginável, está chegando em um dos bairros mais valorizados de Brasília. Projetos reversíveis e inteligentes que vão de 212, 62m² à 456, 80m² e até 05 vagas de garagem, localizado em uma das quadras mais consolidadas do Setor Noroeste, ao lado do Parque Burle Marx. Antecipe-se, agende uma visita à Central de vendas Emplavi Noroeste, encante-se com o futuro do seu novo endereço em Brasília e garanta negociações exclusivas, com condições especiais de Pré-lançamento. Parque dos Buritis 04 suítes Premium: a evolução do alto padrão.",,"Apartamento Noroeste - Cobertura Parque dos Buritis, 4 quartos. Lançamento! O melhor 04 Suítes Premium do Setor Noroeste vai conquistar você! Seja bem-vindo ao Parque dos Buritis: a evolução do alto padrão. Um conjunto arquitetônico exuberante, com a marca da solidez e da qualidade construtiva Emplavi. Uma nova experiência, única e inspiradora, que elevará seu conceito de moradia de alto luxo, a um nível inimaginável, está chegando em um dos bairros mais valorizados de Brasília. Projetos reversíveis e inteligentes que vão de 212, 62m² à 456, 80m² e até 05 vagas de garagem, localizado em uma das quadras mais consolidadas do Setor Noroeste, ao lado do Parque Burle Marx. Antecipe-se, agende uma visita à Central de vendas Emplavi Noroeste, encante-se com o futuro do seu novo endereço em Brasília e garanta negociações exclusivas, com condições especiais de Pré-lançamento. Parque dos Buritis 04 suítes Premium: a evolução do alto padrão."
R$ 310.000,"Vendo Linda Kitnet no Condominio Master Place - Asa Norte! * Mobiliada; * Vaga de garagem coberta; * Lavanderia; * Portaria 24hs; ** Área útil: 26m²; * Valor do Imóvel: R$310. 000, 00. Corretores de plantão: Silmara Carneiro/ Lucas. Mestra Imobiliária ltda. Telefone/WhatsApp: Ver dados / (61) Ver dados / (61) Ver dados. E-mail: Ver dados. Creci: Ver dados. *avaliacao gratuita de mercado (saiba o real valor do seu imovel!) *aprovacao da sua carta de credito em ate 24 horas ( mediante analise cadastral) *administracão do seu imovel para locacao (cuidamos do seu patrimônio com responsabilidade) * A área do imóvel anunciado é uma estimativa e deve ser confirmada pelo cliente interessado, junto à certidão de ônus do imóvel. Valores de taxas condominiais e condições de pagamento sujeito a alteração sem prévio aviso. ______mestra imobiliaria vende, aluga E administra imoveis urbanos E rurais______ - 19/02/2024","Asa Norte, Brasília",26 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 3 dias,
R$ 320.000,,"Asa Norte, Brasília",23 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 23 dias,
R$ 2.550.000,R$ 2.703 Condominio,"Sudoeste, Brasília",190 m² tot.,4 quartos,,,Publicado há 21 dias,"Kontá Imóveis: Perto de você! Belíssimo Apartamento de 4 Suítes situado na sqsw 300 – A melhor Quadra do Sudoeste. Próximo ao eixo monumental, de supermercados, padarias, farmácias, restaurantes, etc. Destaques: - Reforma de Alto Padrão com projeto de iluminação; - Vista Livre; - De Canto; - Ar condicionado em todos os cômodos; - 3 Vagas; descrição: - Ampla sala para ambientes de Recepção, tv e Jantar; - Lavabo; - Cozinha ampla; - Área de serviço/Lavanderia + Quartinho + Banheiro de serviço; - 4 Suítes, sendo uma delas a Suíte Master Enorme, com Varanda e repleta de armários; - 3 Vagas. O condomínio conta com portaria 24 horas, sistema de segurança de altíssima qualidade, entrada da garagem com portão eletrônico, salão de festas no pilotis e playground. Informações importantes: - Condomínio R$ 2. 703, 00; - Taxa extra: Não há; - iptu: R$ 4. 024, 00; - Água: inclusa no valor do condomínio; - Aquecimento da água: aquecimento central; - Funcionamento do Fogão: Gás canalizado incluso no valor do condomínio; - Idade do edifício: 19 anos; - Itens que ficam no imóvel: toda a mobília embutida e planejada (como armários, painéis e outros) ; cortinas e persianas; aparelhos de ar condicionado; metais; iluminação. Agende Agora mesmo sua Visita com nossos Especialistas! Raul Nero - 61 Ver dados. Natália Marques - 61 Ver dados. Danuza Mundim - 61 Ver dados. Petrus Ramos - 61 Ver dados. Jadir Marques - 61 Ver dados. Michael Araújo - 61 Ver dados. Siga também a nossa empresa no Instagram: @kontaimoveis - Muitas novidades, inspirações e dicas para vocês!"
