,Value
Apt_Area_m2,4250.213372942457
Total_Rooms,93081.34512332534
Total_Baths,204142.9376173005
Garage_Spots_aux,194347.1357016057
Asa Sul,85085.78651658364
Cruzeiro,-64179.60753515904
Guará,-28617.347568752957
Guará II,-333788.48654384114
Lago Norte,-190906.38392241002
Lago Sul,-38702.529634418825
Noroeste,-63715.964775658205
Octogonal,-39678.15477736395
Park Sul,-132834.5643478296
Setor De Clubes Esportivos Sul,218611.3032353042
Setor Habitacional Jardins Mangueiral,-343217.1613777636
Setor de Hotéis e Turismo Norte,83038.59169085034
Sobradinho,-341657.0486669812
Sudoeste,94439.63473818358
Taguatinga,-293765.43460602924
Águas Claras,-453134.9699860922
Intercept,-155038.4685725777
